ID,FRAME,DIALOGUE,SOURCE,TEXT,TOKENS,EN,FR,HI,AR,ZH
2865.1.1,2865,1,BEANISH-R,ᕒᖚᐧ ᓭᔭᑦᘖ ᘛᖆᖚᘈᐤ ,ᕒ_ᖚᐧ ᓭ_ᔭᑦ_ᘖ ᘛ_ᖆ_ᖚ_ᘈ_ᐤ ,Where are they from?,D'où viennent-ils?,वे कहां से हैं?,من أين جاؤوا؟,他们从哪里来？
2866.1.1,2866,1,BEANISH-1,ᖆᐣᑕᑦᖚᑫ ᓭᐧᘖ ᕒᖚᐧ ᘊᓭᐧᑲᐨ ,ᖆᐣ_ᑕᑦ_ᖚ_ᑫ ᓭᐧ_ᘖ ᕒ_ᖚᐧ ᘊ_ᓭᐧ_ᑲ_ᐨ ,They are from the South.,Ils viennent du Sud.,वे दक्षिण से हैं।,هم من الجنوب.,他们来自南方。
2866.2.1,2866,2,BEANISH-2,ᖉᔭᒣᘊᐣᘖᑫᖗ ᖽᘛᕋᑦᐨ ,ᖉ_ᔭᒣ_ᘊᐣ_ᘖ_ᑫ_ᖗ ᖽ_ᘛ_ᕋᑦ_ᐨ ,One of them is injured.,L'un d'eux est blessé.,इनमें से एक घायल है।,أصيب أحدهم.,其中一名受伤。
2880.1.1,2880,1,BEANISH-R,"ᘛᐣ ᖆᔭᖊᖽ ᖊ,ᘖ ᘖᖆᒣᘛᐨ ","ᘛᐣ ᖆ_ᔭ_ᖊ_ᖽ ᖊ,_ᘖ ᘖ_ᖆ_ᒣ_ᘛ_ᐨ ",You can leave now.,Vous pouvez y aller maintenant.,आप अब जा सकते हैं।,يمكنك الذهاب الآن.,你现在可以离开了。
2880.2.1,2880,2,BEANISH-2,ᔪᑕᐨ ,ᔪ_ᑕ_ᐨ ,Ok.,D'accord.,ठीक।,نعم.,好的。
2882.1.1,2882,1,BEANISH-2,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
2906.1.1,2906,1,BEANISH-M,"ᘊᖊ,ᓄ ᘊᓭᐧᑲ ","ᘊ_ᖊ,_ᓄ ᘊ_ᓭᐧ_ᑲ ",South sea,Mer Sud,दक्षिण सागर,البحر الجنوبي,南海
2906.1.2,2906,1,BEANISH-M,"ᘊᖊ,ᓄ ?ᓄᐣᔭ ","ᘊ_ᖊ,_ᓄ ?_ᓄᐣ_ᔭ ",Ionian sea,Mer Ionienne,आयोनियन सागर,البحر الأيوني,爱奥尼亚海
2906.1.3,2906,1,BEANISH-M,ᑫᘊᘊ ,ᑫ_ᘊ_ᘊ ,Berm,Berme,उपतट,الساتر,护堤
2906.1.4,2906,1,BEANISH-M,ᘊᓭᑦᑕᖉ ,ᘊ_ᓭᑦ_ᑕ_ᖉ ,Plains,Plaines,मैदानों,السهول,平原
2906.1.5,2906,1,BEANISH-M,ᘖᓄᘈᖉᐣ ,ᘖ_ᓄ_ᘈ_ᖉᐣ ,Marseille,Marseille,मारसैल,مرسيليا,马赛
2906.1.6,2906,1,BEANISH-M,ᓭᘊᘊ ,ᓭ_ᘊ_ᘊ ,River,Fleuve,नदी,نهر,河
2933.1.1,2933,1,BEANISH-1,"ᖉ, ᖆᐣᖚᔭ,ᐨ ","ᖉ, ᖆᐣ_ᖚ_ᔭ,_ᐨ ",Hello.,Bonjour.,नमस्ते।,صباح الخير.,你好。
2934.1.1,2934,1,MEGAN,ᒣᓭᐧᖊᔕᐨ ,ᒣ_ᓭᐧ_ᖊ_ᔕ_ᐨ ,Cream.,Crème.,मलाई।,كريم.,奶油。
2935.1.1,2935,1,BEANISH-1,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
2941.1.1,2941,1,BEANISH-S,"ᖉ, ᖆᐣᖚᔭ,ᐨ ","ᖉ, ᖆᐣ_ᖚ_ᔭ,_ᐨ ",Hello.,Bonjour.,नमस्ते।,صباح الخير.,你好。
